,evaporation_from_bare_soil,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_the_top_of_canopy,evaporation_from_vegetation_transpiration,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2018-08-01,-0.0025801255887927255,-0.0005520342183444882,-3.0274537493824027e-05,-1.045312334705765e-05,302.06418323516846,302.23728227615356,302.70818106333417,304.7994778951009,96910.46577962239,301.4711716969808,3.082360684062794e-05,3.59209934870402,1.5959945917129517
2018-08-05,-0.0010999423484463478,-0.0002640867599742099,-0.00027450540922776173,-9.91659241359836e-06,300.9453344345093,301.46061340967816,302.62145312627155,304.6338891983032,96792.2109375,300.35824124018353,0.0021812317345675236,2.0863415400187173,0.6522371371587118
2018-08-09,-0.001710136211841018,-0.0004380480362063584,-0.0004613670201554972,-7.581189493066631e-06,301.9052987098694,301.9374410311381,302.47330045700073,304.4673113822937,96810.66845703125,301.12906789779663,0.0028249211498638793,2.1766613324483237,0.47040582696596783
2018-08-13,-0.0012865728452500964,-0.00035905951942064956,-0.0006216961852866613,-8.44495662022382e-06,301.8099956512451,302.0142529805501,302.5691768328349,304.3150691986084,96718.84643554688,300.83551438649494,0.00468035718586605,0.8439904848734537,-0.3283332288265228
2018-08-17,-0.001131693500307544,-0.00030185281320882495,-0.0005998722699587233,-7.302263232607705e-06,301.9271659851074,302.09891478220624,302.61112356185913,304.17870839436847,96707.63330078125,300.67875878016156,0.00817252337663906,0.8492298126220703,-0.33983874320983887
2018-08-21,-0.00040720426356225897,-0.00012474286995711736,-0.0009062046986703839,-6.143366287384803e-06,300.10011529922485,300.779234568278,302.30612500508624,304.043417930603,96873.6932779948,299.284109433492,0.010500429695180316,2.3079069455464682,-0.3021453122297923
2018-08-25,-0.0018001139227029246,-0.0004098825435600399,-0.00026516097265509114,-7.49752022481213e-06,300.9883680343628,301.00611543655396,301.79296763737995,303.87268511454266,96859.94864908855,300.39530340830487,0.0009759150212573786,2.682598114013672,0.04455100496610006
2018-08-29,-0.00024044230000678604,-7.205225483630784e-05,-0.0009167143695473593,-7.0266826999917e-06,299.51187864939374,300.2120542526245,301.66714827219647,303.69908968607587,97041.09883626302,298.875235080719,0.005851785262285432,2.5195816357930503,0.3811726967493693
2018-09-02,-0.000337255117604703,-9.050080673963141e-05,-0.0007557048647868214,-6.08792591568393e-06,298.71012624104816,299.2218238512675,300.977413336436,303.49936691919964,97152.80061848958,298.42858028411865,0.013120551853513093,2.693211019039154,0.2621845304965973
2018-09-06,-0.0004939117352478206,-0.00016017472808016464,-0.0008344046509591863,-4.9575846787774935e-06,298.9000422159831,299.35721429189044,300.62566089630127,303.2666228612264,97115.38830566406,298.2503180503845,0.010433673324619789,1.4424351056416829,-0.5642022987206777
2018-09-10,-0.0010645541976070187,-0.00022731384281845143,-0.0004614645871091246,-5.5651732206267e-06,298.86545213063556,299.1318834622701,300.31391191482544,303.0262819925944,97470.46472167969,298.60023975372314,0.002389444776224788,2.575820287068685,1.3346702257792156
2018-09-14,-0.0024236750966034983,-0.00046645784823340364,-3.262403636957364e-05,-8.731006649516834e-06,299.9850746790568,300.0555245081584,300.47352743148804,302.7971755663554,97507.71899414062,299.34024779001874,8.723551096893416e-05,2.148383458455404,-0.017614851395289104
2018-09-18,-0.002521599713266672,-0.00048677559122249175,-8.112013226006336e-05,-9.403799898185147e-06,300.6638684272766,300.6222497622172,300.78128639856976,302.61253039042157,97333.84488932292,300.3707968393962,0.0005502199422679303,0.606992244720459,-1.4153078993161519
2018-09-22,-0.0011418531321396586,-0.0002835808918462135,-0.0006581756163844451,-5.4010555080215754e-06,299.446763197581,299.82371695836383,300.7974608739217,302.46263360977173,97382.33813476562,298.9557771682739,0.002989200084895708,0.802580197652181,0.6450302501519521
2018-09-26,-0.0025858405612477022,-0.00048690707808418665,-4.044042725581676e-06,-1.2314352109873047e-05,299.68731594085693,300.0523543357849,300.73559459050495,302.318021774292,97656.21756998698,299.24890343348187,4.726079408342206e-06,1.9208423296610515,0.24830945332845053
2018-09-30,-0.002446510134783845,-0.0004536386768450029,-1.062108094629366e-05,-1.0126367366562286e-05,299.99837096532184,300.0740650494893,300.61664422353107,302.17937628428143,97709.48803710938,300.0310519536336,2.565334035168713e-05,1.6242242852846782,0.3713526725769043
2018-10-04,-0.0022744514632601445,-0.00040072551200864837,-2.2547763971185002e-05,-8.209663974412251e-06,299.8786514600118,300.13153409957886,300.67794275283813,302.0517128308614,97807.98323567708,299.91153271993,0.00015714406467341271,0.8789717356363932,0.3468797604242961
2018-10-08,-0.0022438156465796055,-0.00040852688349938643,-1.0265480644496469e-05,-1.0064780629666833e-05,299.5314299265544,299.8274844487508,300.58254941304523,301.9356058438619,97618.45544433594,299.4332168896993,1.2288708808057732e-05,1.085984706878662,0.011657406886418661
2018-10-12,-0.001978322755652092,-0.0003281483598887765,-2.0773525951274982e-07,-9.40306805811512e-06,299.1230320930481,299.49498176574707,300.41415468851727,301.81853739420575,97910.87886555989,298.4308799107869,9.809930656690113e-08,0.10876925786336263,-0.022575020790100098
